Year,district_name,CH_nonCH,Total
1997,Oerlikon,Foreign,5338
1997,Oerlikon,Swiss,11427
1997,Rathaus,Foreign,571
1997,Rathaus,Swiss,2512
1997,Saatlen,Foreign,1671
1997,Saatlen,Swiss,4757
1997,Schwamendingen-Mitte,Foreign,3612
1997,Schwamendingen-Mitte,Swiss,6625
1997,Seebach,Foreign,5540
1997,Seebach,Swiss,12179
1997,Seefeld,Foreign,1233
1997,Seefeld,Swiss,3922
1997,Sihlfeld,Foreign,7951
1997,Sihlfeld,Swiss,13181
1997,Unterstrass,Foreign,4577
1997,Unterstrass,Swiss,15704
1997,Weinegg,Foreign,1241
1997,Weinegg,Swiss,3558
1997,Werd,Foreign,1551
1997,Werd,Swiss,2377
1997,Wipkingen,Foreign,5432
1997,Wipkingen,Swiss,10385
1997,Witikon,Foreign,1381
1997,Witikon,Swiss,8196
1997,Wollishofen,Foreign,3373
1997,Wollishofen,Swiss,12447
1998,Affoltern,Foreign,5032
1998,Affoltern,Swiss,13437
1998,Albisrieden,Foreign,3655
1998,Albisrieden,Swiss,12893
1998,Alt-Wiedikon,Foreign,5105
1998,Alt-Wiedikon,Swiss,9870
1998,Altstetten,Foreign,9865
1998,Altstetten,Swiss,17791
1998,City,Foreign,311
1998,City,Swiss,719
1998,Enge,Foreign,1949
1998,Enge,Swiss,6201
1998,Escher Wyss,Foreign,691
1998,Escher Wyss,Swiss,888
1998,Fluntern,Foreign,1435
1998,Fluntern,Swiss,5837
1998,Friesenberg,Foreign,2061
1998,Friesenberg,Swiss,7968
1998,Gewerbeschule,Foreign,4276
1998,Gewerbeschule,Swiss,5188
1998,Hard,Foreign,6217
1998,Hard,Swiss,6654
1998,Hirslanden,Foreign,1217
1998,Hirslanden,Swiss,5485
1998,Hirzenbach,Foreign,3458
1998,Hirzenbach,Swiss,7557
1998,Hochschulen,Foreign,204
1998,Hochschulen,Swiss,588
1998,Hottingen,Foreign,1996
1998,Hottingen,Swiss,8244
1998,Höngg,Foreign,3448
1998,Höngg,Swiss,16606
1998,Langstrasse,Foreign,4427
1998,Langstrasse,Swiss,5972
1998,Leimbach,Foreign,895
1998,Leimbach,Swiss,3724
1998,Lindenhof,Foreign,159
1998,Lindenhof,Swiss,836
1998,Mühlebach,Foreign,1150
1998,Mühlebach,Swiss,4311
1998,Oberstrass,Foreign,2138
1998,Oberstrass,Swiss,7769
1998,Oerlikon,Foreign,5584
1998,Oerlikon,Swiss,11442
1998,Rathaus,Foreign,571
1998,Rathaus,Swiss,2479
1998,Saatlen,Foreign,1793
1998,Saatlen,Swiss,4775
1998,Schwamendingen-Mitte,Foreign,3683
1998,Schwamendingen-Mitte,Swiss,6491
1998,Seebach,Foreign,5888
1998,Seebach,Swiss,12018
1998,Seefeld,Foreign,1207
1998,Seefeld,Swiss,3880
1998,Sihlfeld,Foreign,7946
1998,Sihlfeld,Swiss,13072
1998,Unterstrass,Foreign,4473
1998,Unterstrass,Swiss,15793
1998,Weinegg,Foreign,1235
1998,Weinegg,Swiss,3581
1998,Werd,Foreign,1474
1998,Werd,Swiss,2439
1998,Wipkingen,Foreign,5223
1998,Wipkingen,Swiss,10420
1998,Witikon,Foreign,1387
1998,Witikon,Swiss,8166
1998,Wollishofen,Foreign,3397
1998,Wollishofen,Swiss,12429
1999,Affoltern,Foreign,5146
1999,Affoltern,Swiss,13322
1999,Albisrieden,Foreign,3698
1999,Albisrieden,Swiss,12643
1999,Alt-Wiedikon,Foreign,5105
1999,Alt-Wiedikon,Swiss,9784
1999,Altstetten,Foreign,10150
1999,Altstetten,Swiss,17778
1999,City,Foreign,280
1999,City,Swiss,687
1999,Enge,Foreign,1960
1999,Enge,Swiss,6174
1999,Escher Wyss,Foreign,774
1999,Escher Wyss,Swiss,1179
1999,Fluntern,Foreign,1462
1999,Fluntern,Swiss,5836
1999,Friesenberg,Foreign,2128
1999,Friesenberg,Swiss,7885
1999,Gewerbeschule,Foreign,4296
1999,Gewerbeschule,Swiss,5298
1999,Hard,Foreign,6267
1999,Hard,Swiss,6684
1999,Hirslanden,Foreign,1262
1999,Hirslanden,Swiss,5575
1999,Hirzenbach,Foreign,3602
1999,Hirzenbach,Swiss,7517
1999,Hochschulen,Foreign,186
1999,Hochschulen,Swiss,583
1999,Hottingen,Foreign,2134
1999,Hottingen,Swiss,8173
1999,Höngg,Foreign,3803
1999,Höngg,Swiss,16756
1999,Langstrasse,Foreign,4350
1999,Langstrasse,Swiss,6020
1999,Leimbach,Foreign,956
1999,Leimbach,Swiss,3694
1999,Lindenhof,Foreign,178
1999,Lindenhof,Swiss,854
1999,Mühlebach,Foreign,1138
1999,Mühlebach,Swiss,4389
1999,Oberstrass,Foreign,2171
1999,Oberstrass,Swiss,7726
1999,Oerlikon,Foreign,5852
1999,Oerlikon,Swiss,11516
1999,Rathaus,Foreign,575
1999,Rathaus,Swiss,2529
1999,Saatlen,Foreign,1852
1999,Saatlen,Swiss,4702
1999,Schwamendingen-Mitte,Foreign,3912
1999,Schwamendingen-Mitte,Swiss,6478
1999,Seebach,Foreign,5966
1999,Seebach,Swiss,11923
1999,Seefeld,Foreign,1194
1999,Seefeld,Swiss,3775
1999,Sihlfeld,Foreign,7878
1999,Sihlfeld,Swiss,13119
1999,Unterstrass,Foreign,4502
1999,Unterstrass,Swiss,15581
1999,Weinegg,Foreign,1236
1999,Weinegg,Swiss,3564
1999,Werd,Foreign,1434
1999,Werd,Swiss,2532
1999,Wipkingen,Foreign,5116
1999,Wipkingen,Swiss,10415
1999,Witikon,Foreign,1450
1999,Witikon,Swiss,8104
1999,Wollishofen,Foreign,3506
1999,Wollishofen,Swiss,12390
2000,Affoltern,Foreign,5169
2000,Affoltern,Swiss,13218
2000,Albisrieden,Foreign,3769
2000,Albisrieden,Swiss,12676
2000,Alt-Wiedikon,Foreign,4891
2000,Alt-Wiedikon,Swiss,9898
2000,Altstetten,Foreign,10384
2000,Altstetten,Swiss,17790
2000,City,Foreign,241
2000,City,Swiss,688
2000,Enge,Foreign,1961
2000,Enge,Swiss,6228
2000,Escher Wyss,Foreign,710
2000,Escher Wyss,Swiss,1219
2000,Fluntern,Foreign,1480
2000,Fluntern,Swiss,5787
2000,Friesenberg,Foreign,2162
2000,Friesenberg,Swiss,7810
2000,Gewerbeschule,Foreign,4252
2000,Gewerbeschule,Swiss,5572
2000,Hard,Foreign,6233
2000,Hard,Swiss,6642
2000,Hirslanden,Foreign,1167
2000,Hirslanden,Swiss,5592
2000,Hirzenbach,Foreign,3736
2000,Hirzenbach,Swiss,7545
2000,Hochschulen,Foreign,199
2000,Hochschulen,Swiss,560
2000,Hottingen,Foreign,2046
2000,Hottingen,Swiss,8101
2000,Höngg,Foreign,3767
2000,Höngg,Swiss,16656
2000,Langstrasse,Foreign,4159
2000,Langstrasse,Swiss,6078
2000,Leimbach,Foreign,991
2000,Leimbach,Swiss,3653
2000,Lindenhof,Foreign,163
2000,Lindenhof,Swiss,826
2000,Mühlebach,Foreign,1146
2000,Mühlebach,Swiss,4399
2000,Oberstrass,Foreign,2182
2000,Oberstrass,Swiss,7682
2000,Oerlikon,Foreign,5929
2000,Oerlikon,Swiss,11947
2000,Rathaus,Foreign,590
2000,Rathaus,Swiss,2519
2000,Saatlen,Foreign,1855
2000,Saatlen,Swiss,4483
2000,Schwamendingen-Mitte,Foreign,3975
2000,Schwamendingen-Mitte,Swiss,6504
2000,Seebach,Foreign,6042
2000,Seebach,Swiss,11828
2000,Seefeld,Foreign,1203
2000,Seefeld,Swiss,3786
2000,Sihlfeld,Foreign,7826
2000,Sihlfeld,Swiss,13061
2000,Unterstrass,Foreign,4413
2000,Unterstrass,Swiss,15520
2000,Weinegg,Foreign,1250
2000,Weinegg,Swiss,3554
2000,Werd,Foreign,1382
2000,Werd,Swiss,2535
2000,Wipkingen,Foreign,5028
2000,Wipkingen,Swiss,10676
2000,Witikon,Foreign,1462
2000,Witikon,Swiss,8082
2000,Wollishofen,Foreign,3641
2000,Wollishofen,Swiss,12461
2001,Affoltern,Foreign,5362
2001,Affoltern,Swiss,13331
2001,Albisrieden,Foreign,3940
2001,Albisrieden,Swiss,12674
2001,Alt-Wiedikon,Foreign,4833
2001,Alt-Wiedikon,Swiss,9859
2001,Altstetten,Foreign,10655
2001,Altstetten,Swiss,18128
2001,City,Foreign,227
2001,City,Swiss,680
2001,Enge,Foreign,1938
2001,Enge,Swiss,6164
2001,Escher Wyss,Foreign,669
2001,Escher Wyss,Swiss,1464
