Year,district_name,Total
2005,Leimbach,4867
2005,Lindenhof,950
2005,Mühlebach,5577
2005,Oberstrass,9494
2005,Oerlikon,19663
2005,Rathaus,3081
2005,Saatlen,6649
2005,Schwamendingen-Mitte,10322
2005,Seebach,19879
2005,Seefeld,4923
2005,Sihlfeld,20554
2005,Unterstrass,19921
2005,Weinegg,4843
2005,Werd,3878
2005,Wipkingen,15446
2005,Witikon,9864
2005,Wollishofen,15592
2006,Affoltern,18793
2006,Albisrieden,17275
2006,Alt-Wiedikon,15231
2006,Altstetten,28868
2006,City,845
2006,Enge,8367
2006,Escher Wyss,2987
2006,Fluntern,7379
2006,Friesenberg,10342
2006,Gewerbeschule,9735
2006,Hard,12508
2006,Hirslanden,6904
2006,Hirzenbach,11205
2006,Hochschulen,711
2006,Hottingen,10180
2006,Höngg,21017
2006,Langstrasse,10332
2006,Leimbach,4944
2006,Lindenhof,955
2006,Mühlebach,5549
2006,Oberstrass,9698
2006,Oerlikon,20318
2006,Rathaus,3097
2006,Saatlen,6695
2006,Schwamendingen-Mitte,10637
2006,Seebach,20757
2006,Seefeld,4842
2006,Sihlfeld,20314
2006,Unterstrass,19959
2006,Weinegg,4816
2006,Werd,3865
2006,Wipkingen,15392
2006,Witikon,9958
2006,Wollishofen,15587
2007,Affoltern,20948
2007,Albisrieden,17527
2007,Alt-Wiedikon,15440
2007,Altstetten,29348
2007,City,876
2007,Enge,8473
2007,Escher Wyss,3008
2007,Fluntern,7455
2007,Friesenberg,10296
2007,Gewerbeschule,9706
2007,Hard,12802
2007,Hirslanden,6977
2007,Hirzenbach,11343
2007,Hochschulen,698
2007,Hottingen,10284
2007,Höngg,21075
2007,Langstrasse,10310
2007,Leimbach,5204
2007,Lindenhof,954
2007,Mühlebach,5567
2007,Oberstrass,9960
2007,Oerlikon,20754
2007,Rathaus,3079
2007,Saatlen,6842
2007,Schwamendingen-Mitte,10806
2007,Seebach,21390
2007,Seefeld,4920
2007,Sihlfeld,20372
2007,Unterstrass,20243
2007,Weinegg,4944
2007,Werd,3944
2007,Wipkingen,15399
2007,Witikon,10127
2007,Wollishofen,15744
2008,Affoltern,22044
2008,Albisrieden,17555
2008,Alt-Wiedikon,15727
2008,Altstetten,29740
2008,City,843
2008,Enge,8552
2008,Escher Wyss,2971
2008,Fluntern,7542
2008,Friesenberg,10325
2008,Gewerbeschule,9751
2008,Hard,12884
2008,Hirslanden,6967
2008,Hirzenbach,11478
2008,Hochschulen,702
2008,Hottingen,10548
2008,Höngg,21186
2008,Langstrasse,10455
2008,Leimbach,5185
2008,Lindenhof,940
2008,Mühlebach,5491
2008,Oberstrass,10102
2008,Oerlikon,20853
2008,Rathaus,3051
2008,Saatlen,6843
2008,Schwamendingen-Mitte,10864
2008,Seebach,21386
2008,Seefeld,4863
2008,Sihlfeld,20543
2008,Unterstrass,20655
2008,Weinegg,4961
2008,Werd,4015
2008,Wipkingen,15500
2008,Witikon,10183
2008,Wollishofen,15794
2009,Affoltern,22383
2009,Albisrieden,17675
2009,Alt-Wiedikon,15504
2009,Altstetten,29845
2009,City,853
2009,Enge,8668
2009,Escher Wyss,3060
2009,Fluntern,7528
2009,Friesenberg,11003
2009,Gewerbeschule,9717
2009,Hard,12902
2009,Hirslanden,6956
2009,Hirzenbach,11610
2009,Hochschulen,673
2009,Hottingen,10594
2009,Höngg,21294
2009,Langstrasse,10392
2009,Leimbach,5287
2009,Lindenhof,940
2009,Mühlebach,5545
2009,Oberstrass,10051
2009,Oerlikon,20740
2009,Rathaus,3110
2009,Saatlen,7132
2009,Schwamendingen-Mitte,10857
2009,Seebach,21489
2009,Seefeld,4732
2009,Sihlfeld,20464
2009,Unterstrass,21080
2009,Weinegg,4935
2009,Werd,4104
2009,Wipkingen,15645
2009,Witikon,10284
2009,Wollishofen,15854
2010,Affoltern,22972
2010,Albisrieden,17835
2010,Alt-Wiedikon,15988
2010,Altstetten,30659
2010,City,835
2010,Enge,8597
2010,Escher Wyss,3076
2010,Fluntern,7637
2010,Friesenberg,10596
2010,Gewerbeschule,9688
2010,Hard,12883
2010,Hirslanden,6998
2010,Hirzenbach,11459
2010,Hochschulen,678
2010,Hottingen,10570
2010,Höngg,21179
2010,Langstrasse,10379
2010,Leimbach,5293
2010,Lindenhof,951
2010,Mühlebach,5679
2010,Oberstrass,10231
2010,Oerlikon,20787
2010,Rathaus,3099
2010,Saatlen,7175
2010,Schwamendingen-Mitte,10903
2010,Seebach,22037
2010,Seefeld,4840
2010,Sihlfeld,20115
2010,Unterstrass,21233
2010,Weinegg,4999
2010,Werd,4167
2010,Wipkingen,15700
2010,Witikon,10242
2010,Wollishofen,15988
2011,Affoltern,24437
2011,Albisrieden,18432
2011,Alt-Wiedikon,16014
2011,Altstetten,31381
2011,City,779
2011,Enge,8684
2011,Escher Wyss,3129
2011,Fluntern,7873
2011,Friesenberg,10622
2011,Gewerbeschule,9795
2011,Hard,12744
2011,Hirslanden,7024
2011,Hirzenbach,11516
2011,Hochschulen,681
2011,Hottingen,10461
2011,Höngg,21323
2011,Langstrasse,10520
2011,Leimbach,5340
2011,Lindenhof,950
2011,Mühlebach,5651
2011,Oberstrass,10316
2011,Oerlikon,21253
2011,Rathaus,3140
2011,Saatlen,7131
2011,Schwamendingen-Mitte,10863
2011,Seebach,22255
2011,Seefeld,4908
2011,Sihlfeld,20307
2011,Unterstrass,21240
2011,Weinegg,4942
2011,Werd,4189
2011,Wipkingen,15869
2011,Witikon,10258
2011,Wollishofen,16055
2012,Affoltern,24855
2012,Albisrieden,18999
2012,Alt-Wiedikon,16109
2012,Altstetten,31438
2012,City,799
2012,Enge,8702
2012,Escher Wyss,3343
2012,Fluntern,7779
2012,Friesenberg,10986
2012,Gewerbeschule,9824
2012,Hard,12994
2012,Hirslanden,7131
2012,Hirzenbach,11404
2012,Hochschulen,673
2012,Hottingen,10447
2012,Höngg,21537
2012,Langstrasse,10560
2012,Leimbach,5354
2012,Lindenhof,935
2012,Mühlebach,5745
2012,Oberstrass,10308
2012,Oerlikon,21331
2012,Rathaus,3164
2012,Saatlen,7118
2012,Schwamendingen-Mitte,10934
2012,Seebach,23310
2012,Seefeld,4916
2012,Sihlfeld,20831
2012,Unterstrass,21442
2012,Weinegg,4783
2012,Werd,4195
2012,Wipkingen,15791
2012,Witikon,10246
2012,Wollishofen,16029
2013,Affoltern,25082
2013,Albisrieden,19146
2013,Alt-Wiedikon,16706
2013,Altstetten,31115
2013,City,783
2013,Enge,8836
2013,Escher Wyss,4010
2013,Fluntern,7856
2013,Friesenberg,10696
2013,Gewerbeschule,9626
2013,Hard,13241
2013,Hirslanden,7285
2013,Hirzenbach,11153
2013,Hochschulen,665
2013,Hottingen,10708
2013,Höngg,21581
2013,Langstrasse,10686
2013,Leimbach,5730
2013,Lindenhof,923
2013,Mühlebach,5912
2013,Oberstrass,10452
2013,Oerlikon,21658
2013,Rathaus,3194
2013,Saatlen,7280
2013,Schwamendingen-Mitte,11209
2013,Seebach,24008
2013,Seefeld,4978
2013,Sihlfeld,20931
2013,Unterstrass,21876
2013,Weinegg,5022
2013,Werd,4188
2013,Wipkingen,15835
2013,Witikon,10267
2013,Wollishofen,15937
2014,Affoltern,25902
2014,Albisrieden,19199
2014,Alt-Wiedikon,16918
2014,Altstetten,31486
2014,City,791
2014,Enge,9083
2014,Escher Wyss,4604
2014,Fluntern,7865
2014,Friesenberg,10695
2014,Gewerbeschule,9539
2014,Hard,13232
2014,Hirslanden,7403
2014,Hirzenbach,11679
2014,Hochschulen,634
2014,Hottingen,10882
2014,Höngg,21826
2014,Langstrasse,10985
2014,Leimbach,5936
2014,Lindenhof,955
2014,Mühlebach,6107
2014,Oberstrass,10556
2014,Oerlikon,21895
2014,Rathaus,3236
2014,Saatlen,7563
2014,Schwamendingen-Mitte,11301
2014,Seebach,24431
2014,Seefeld,5035
2014,Sihlfeld,21195
