Year,district_name,gender,Total
1999,Schwamendingen-Mitte,M,4915
1999,Seebach,F,9123
1999,Seebach,M,8766
1999,Seefeld,F,2572
1999,Seefeld,M,2397
1999,Sihlfeld,F,10805
1999,Sihlfeld,M,10192
1999,Unterstrass,F,10663
1999,Unterstrass,M,9420
1999,Weinegg,F,2598
1999,Weinegg,M,2202
1999,Werd,F,1870
1999,Werd,M,2096
1999,Wipkingen,F,8042
1999,Wipkingen,M,7489
1999,Witikon,F,5363
1999,Witikon,M,4191
1999,Wollishofen,F,8618
1999,Wollishofen,M,7278
2000,Affoltern,F,9452
2000,Affoltern,M,8935
2000,Albisrieden,F,8879
2000,Albisrieden,M,7566
2000,Alt-Wiedikon,F,7463
2000,Alt-Wiedikon,M,7326
2000,Altstetten,F,14326
2000,Altstetten,M,13848
2000,City,F,440
2000,City,M,489
2000,Enge,F,4207
2000,Enge,M,3982
2000,Escher Wyss,F,864
2000,Escher Wyss,M,1065
2000,Fluntern,F,3969
2000,Fluntern,M,3298
2000,Friesenberg,F,5194
2000,Friesenberg,M,4778
2000,Gewerbeschule,F,4214
2000,Gewerbeschule,M,5610
2000,Hard,F,6468
2000,Hard,M,6407
2000,Hirslanden,F,3827
2000,Hirslanden,M,2932
2000,Hirzenbach,F,5982
2000,Hirzenbach,M,5299
2000,Hochschulen,F,354
2000,Hochschulen,M,405
2000,Hottingen,F,5518
2000,Hottingen,M,4629
2000,Höngg,F,10864
2000,Höngg,M,9559
2000,Langstrasse,F,4544
2000,Langstrasse,M,5693
2000,Leimbach,F,2459
2000,Leimbach,M,2185
2000,Lindenhof,F,486
2000,Lindenhof,M,503
2000,Mühlebach,F,2924
2000,Mühlebach,M,2621
2000,Oberstrass,F,5196
2000,Oberstrass,M,4668
2000,Oerlikon,F,9111
2000,Oerlikon,M,8765
2000,Rathaus,F,1424
2000,Rathaus,M,1685
2000,Saatlen,F,3287
2000,Saatlen,M,3051
2000,Schwamendingen-Mitte,F,5525
2000,Schwamendingen-Mitte,M,4954
2000,Seebach,F,9089
2000,Seebach,M,8781
2000,Seefeld,F,2569
2000,Seefeld,M,2420
2000,Sihlfeld,F,10728
2000,Sihlfeld,M,10159
